heart_rate,emotion,symptoms,disease,risk,specialist
75,neutral,numbness tingling weakness,Carpal Tunnel Syndrome,Low,Orthopedic
79,neutral,urination excessive thirst weight loss,Diabetes Type 1,Low,Endocrinologist
87,sad,chest pain fever cough,Pericarditis,Low,Cardiologist
87,sad,redness dry skin rash,Eczema,Low,Dermatologist
114,surprise,chest pain shortness of breath sweating,Heart Attack,Critical,Cardiologist
90,sad,fever cough chest pain of breath,Pneumonia,High,Pulmonologist
89,sad,sore throat fever swollen lymph nodes,Strep Throat,Low,ENT Specialist
69,surprise,facial drooping arm weakness speech,Stroke,Critical,Neurologist
61,sad,joint pain fever rash,Lyme Disease,Low,Infectious Disease Specialist
64,sad,frequent urination excessive thirst weight loss,Diabetes Type 1,Low,Endocrinologist
87,sad,blurred vision frequent fatigue,Diabetes Type 2,Low,Endocrinologist
67,sad,fever headache body pain,Dengue,Low,General Physician
87,sad,chest fever cough,Pericarditis,Low,Cardiologist
81,sad,pain numbness legs,Slip Disc,Low,Orthopedic
84,sad,vision frequent urination fatigue,Diabetes Type 2,Low,Endocrinologist
67,sad,headache body pain,Dengue,Low,General Physician
73,neutral,fever chills headache,Malaria,Low,Infectious Disease Specialist
134,fear,chest pain radiating arm shortness of breath,Angina,High,Cardiologist
87,sad,back loss of height bone fractures,Osteoporosis,Low,Orthopedic
78,sad,stomach pain nausea vomiting bloating,Gastritis,Low,Gastroenterologist
127,sad,chest pain radiating to arm shortness of breath,Angina,High,Cardiologist
81,sad,red patches silvery scales itching,Psoriasis,Low,Dermatologist
70,neutral,weakness vision problems fatigue,Multiple Sclerosis,Low,Neurologist
101,sad,worry restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
73,neutral,fever headache body,Dengue,Low,General Physician
63,sad,red eyes itching discharge,Conjunctivitis,Low,Ophthalmologist
60,sad,fever headache abdominal diarrhea,Typhoid,Low,Infectious Disease Specialist
71,neutral,abdominal pain diarrhea blood stool,Ulcerative Colitis,Low,Gastroenterologist
74,sad,fever headache body pain,Dengue,Low,General Physician
